hash,short,date,author,subject,action,batch,value,risk,port,fork-overlap-files,notes
ee3a4f20bc41ccf9e3f33ce37e7191cd5c7e6a17,ee3a4f20bc,2026-07-28,Rajarshee Chatterjee,fix: preserve default category after reordering (closes #1922),PORT,A2,HIGH,YELLOW,MANUAL,"src/database/queries/__tests__/CategoryQueries.test.ts,src/database/queries/__tests__/NovelQueries.test.ts,src/database/queries/CategoryQueries.ts,src/database/queries/NovelQueries.ts,src/screens/Categories/CategoriesScreen.tsx",Preserve default category after reorder (built-in IDs + positional sort); fork uses WHERE sort=1 in 4 places.
0c3542836c847c0e824e473c06394bd5219d6329,0c3542836c,2026-07-28,Rajarshee Chatterjee,fix: synchronize library updates and optimize import refreshes,PORT,A3,MEDIUM,YELLOW,MANUAL,"src/database/queries/ChapterQueries.ts,src/screens/library/hooks/useLibrary.ts",Library sync + import refresh (julianday trigger + lastUpdatedAt sort; fork triggers identical pre-fix).
f71c9c859471968684baef6e7f3da55a9d2f5821,f71c9c8594,2026-07-28,Patrick Loser,fix: ignore discord notifications outside the main repository (#1923),SKIP,SKIP-CI,-,-,-,,CI/notification infra.
f53546cc01d76b8b3f73ed4a3b88b374f775d746,f53546cc01,2026-07-28,github-actions[bot],chore: release v2.1.1,SKIP,SKIP-RELEASE,-,-,-,package.json,Version bump; fork has own numbering (v2.1.3).
594b078fad3308c284b3b9cd8484056b40d3c821,594b078fad,2026-07-28,Rajarshee Chatterjee,fix: harden database migration recovery,SKIP,SKIP-DRIZZLE,-,-,-,src/database/db.ts,Drizzle migration SQL; fork MigrationRunner already covers.
ac1b2f5ce446ae90db315be11d1494bc49539f40,ac1b2f5ce4,2026-07-27,Rajarshee Chatterjee,feat: add durable completion notifications,SKIP,SKIP-NATIVE,-,-,-,,Durable completion notifications built on upstream native-background-tasks/WorkManager - fork has no such infra.
648d21062f8812ae2a8526954a374424c0dede3c,648d21062f,2026-07-27,Rajarshee Chatterjee,feat: add parallel task queues with per-plugin download limits,SKIP,SKIP-NATIVE,-,-,-,src/services/migrate/migrateNovel.ts,Parallel task queues + per-plugin download limits depend on upstream BackgroundTaskDao/scheduler - would need reimplementation on ServiceManager queue.
89d715ce6bc22ea15885ff86b3359033f3253b4c,89d715ce6b,2026-07-27,Rajarshee Chatterjee,docs: replace beta badge with build preview status,SKIP,SKIP-DOCS,-,-,-,README.md,Documentation only.
bd527a02efa9d642b7168e432bfb965a0ae85f51,bd527a02ef,2026-07-27,Rajarshee Chatterjee,"feat: improve backup selection, notifications, and plugin restore",PORT,D-optional,HIGH,RED,MANUAL,"src/components/Checkbox/Checkbox.tsx,src/screens/settings/SettingsBackupScreen/Components/GoogleDriveModal.tsx,src/screens/settings/SettingsBackupScreen/Components/SelfHostModal.tsx,src/screens/settings/SettingsBackupScreen/index.tsx,src/services/backup/local/index.ts,src/services/backup/types.ts,src/services/backup/utils.ts","Backup selection/notifications/plugin-restore overhaul (+2021/-249, 31 files). Port only selection/options/plugin-restore slices as dedicated effort."
11117c1b5404820868683522242296d4f61d7642,11117c1b54,2026-07-27,Rajarshee Chatterjee,feat: add github-style embed for nightly notifications,SKIP,SKIP-CI,-,-,-,,GitHub-style embed for nightly notifications - CI workflow only.
ba25d5b8fe3af0b006ad09293a499b58cbee1479,ba25d5b8fe,2026-07-27,Patrick Loser,feat: add rozenite devtools integration (#1912),SKIP,SKIP-INFRA,-,-,-,"App.tsx,package.json,pnpm-lock.yaml",op-sqlite adapter + metro config; fork uses expo-sqlite.
31cb4b994a332bd6f99864ba792aaa988bf4720b,31cb4b994a,2026-07-27,Rajarshee Chatterjee,fix: align bottom navigation with material 3 specs,PORT,A1,LOW,YELLOW,MANUAL-trivial,src/components/BottomTabBar/index.tsx,Bottom nav M3 padding. Fork BottomTabBar rewritten (getStyles + scaled padding.xs) so upstream hunk fails git apply --check - manual port (review 2026-08-04).
72ef618af1bdb6a40783ab119649e302a89e12d8,72ef618af1,2026-07-27,Rajarshee Chatterjee,fix: preserve existing data during novel counter migration,SKIP,SKIP-DRIZZLE,-,-,-,,Drizzle migration SQL; fork MigrationRunner already covers.
936fd223bbde71c3e0496f22ea4f28c9714d7987,936fd223bb,2026-07-27,Rajarshee Chatterjee,feat: add discord notifications for nightly builds,SKIP,SKIP-CI,-,-,-,,CI/discord notification infra.
6d26438d2dd5b7faf21786bc390ae83b43aca6d5,6d26438d2d,2026-07-27,Rajarshee Chatterjee,test: update expected database migrations,SKIP,SKIP-DRIZZLE,-,-,-,AGENTS.md,Drizzle migration SQL; fork MigrationRunner already covers.
5eb5a55c4c654c046f984f1e324b36587389dfa8,5eb5a55c4c,2026-07-27,Rajarshee Chatterjee,fix: repair skipped novel counter migrations,SKIP,SKIP-DRIZZLE,-,-,-,,Drizzle migration SQL; fork MigrationRunner already covers.
6cd86d1422de47dc8e08c53e645c678b39ed66cc,6cd86d1422,2026-07-27,Rajarshee Chatterjee,chore: update translations (#1906),SKIP,SKIP-I18N,-,-,-,,Crowdin sync; fork strings at strings/languages with custom keys - manual per-key diff only.
9783c4d5e3a0f7e5736d1fa50a8dd360a760f76c,9783c4d5e3,2026-07-26,Patrick Loser,fix: normalize repository back navigation (#1905),PORT,A1,LOW,YELLOW,MANUAL-trivial,src/screens/settings/SettingsRepositoryScreen/SettingsRepositoryScreen.tsx,Reclassified PORT-A1 per review 2026-08-04: small safe deletion (remove useBackHandler + popToTop); group1 subagent had recommended porting; fork carries identical pre-fix code.
87f602a1fdaaf4456b1947a6097b5a7e65caa1a3,87f602a1fd,2026-07-26,github-actions[bot],chore: release v2.1.0,SKIP,SKIP-RELEASE,-,-,-,package.json,Version bump; fork has own numbering (v2.1.3).
3d32ddd6e933d5b5208f7813b99b8755e700d483,3d32ddd6e9,2026-07-26,Rajarshee Chatterjee,fix: improve release selection and apk verification,SKIP,SKIP-RELEASE,-,-,-,,Version bump; fork has own numbering (v2.1.3).
7ddd934c2b834ba8fbed6969dab89728e3316251,7ddd934c2b,2026-07-26,Rajarshee Chatterjee,fix: handle missing tracker client ids,PORT,A3,MEDIUM,YELLOW,MANUAL,,Handle missing tracker client IDs (guard clauses in aniList.ts/myAnimeList.ts only).
b53c91f748581227d63a28d28d33de87c1cbb296,b53c91f748,2026-07-26,Rajarshee Chatterjee,chore: separate jest and type check workflows,SKIP,SKIP-CI,-,-,-,package.json,Fork has separate CI.
9d106a371620a513f1f4cf57f511936866a77fd2,9d106a3716,2026-07-26,Rajarshee Chatterjee,feat: add semantic version bump selection,SKIP,SKIP-CI,-,-,-,,Release automation.
8b0a8dc4c07b6d77532ef9b070bbce288afd92d4,8b0a8dc4c0,2026-07-26,Patrick Loser,chore: update husky pre-commit and pre-push hooks,SKIP,SKIP-INFRA,-,-,-,package.json,Fork has own hooks; bundled volume-module change conflicts.
72bfcad03469440c1e9cf5ff88b5ff97a544c45e,72bfcad034,2026-07-26,Patrick Loser,fix: resolve type and lint issues,SKIP,SKIP-OTHER,-,-,-,"eslint.config.js,src/components/ErrorView/ErrorView.tsx,src/database/queries/__tests__/NovelQueries.test.ts,src/database/queries/__tests__/StatsQueries.test.ts,src/hooks/common/useGithubUpdateChecker.ts,src/navigators/types/index.ts,src/screens/browse/discover/AniListTopNovels.tsx,src/screens/browse/discover/MalTopNovels.tsx,src/screens/browse/migration/MigrationSourceItem.tsx,src/screens/browse/SourceNovels.tsx,src/screens/BrowseSourceScreen/useBrowseSource.ts,src/screens/GlobalSearchScreen/GlobalSearchScreen.tsx,src/screens/library/hooks/useLibrary.ts,src/screens/more/About.tsx,src/screens/more/components/MoreHeader.tsx,src/screens/more/MoreScreen.tsx,src/screens/more/TaskQueueScreen.tsx,src/screens/reader/ChapterContext.tsx,src/screens/reader/components/ChapterDrawer/index.tsx,src/screens/reader/components/WebViewReader.tsx,src/screens/reader/ReaderScreen.tsx,src/screens/settings/SettingsBackupScreen/Components/GoogleDriveModal.tsx,src/screens/settings/SettingsBackupScreen/index.tsx,src/screens/settings/SettingsReaderScreen/SettingsReaderScreen.tsx,src/screens/settings/SettingsRepositoryScreen/components/RepositoryCard.tsx,src/screens/settings/SettingsTrackerScreen.tsx,src/screens/WebviewScreen/components/Appbar.tsx,src/screens/WebviewScreen/components/Menu.tsx,src/screens/WebviewScreen/WebviewScreen.tsx","TRAP: lint/type cleanup touching WebViewReader/ReaderScreen/ChapterContext/useLibrary - zero value, maximal conflict surface. NEVER cherry-pick."
345d084eba5f1862c37d15c3790ce36610116d70,345d084eba,2026-07-26,Rajarshee Chatterjee,feat: add chapter numbers to epub titles (closes #1405),PORT,B,HIGH,YELLOW,MANUAL,"src/hooks/persisted/useSettings.ts,src/screens/novel/components/ExportEpubModal.tsx,src/screens/novel/components/ExportNovelAsEpubButton.tsx",Chapter numbers in EPUB titles (setting + title composition; adapt to @cd-z/react-native-epub-creator).
10b6042a9c671f47ba33f7810c47935a54706f40,10b6042a9c,2026-07-26,Rajarshee Chatterjee,feat: add epub export progress notifications,SKIP,SKIP-INFRA,-,-,-,"src/screens/novel/components/ExportEpubModal.tsx,src/screens/novel/components/ExportNovelAsEpubButton.tsx",Expo infra commit.
bd7161172551568e579e60ece7072f8c5a05fa65,bd71611725,2026-07-26,Rajarshee Chatterjee,feat: improve chapter drawer and webview app bar,SKIP,SKIP-OTHER,-,-,-,"src/screens/reader/components/ChapterDrawer/index.tsx,src/screens/reader/ReaderScreen.tsx,src/screens/WebviewScreen/components/Appbar.tsx",No clear user value / overlaps fork-critical files or infra. See subagent report.
8f53550d2c6ec75b8d9cefe0142218aaec26f726,8f53550d2c,2026-07-26,Rajarshee Chatterjee,fix: restore tracker search requests,PORT,A3,HIGH,YELLOW,MANUAL,src/screens/novel/components/Tracker/TrackSearchDialog.tsx,Restore tracker search requests (scheduleSearch bypass + stale searchText; fork shares broken flow).
52914b978df3267342b9cd3d18270bf19ae5a7cb,52914b978d,2026-07-26,Rajarshee Chatterjee,fix: migrate volume button events to expo listener api,SKIP,ALREADY-HAVE,-,-,-,src/screens/reader/hooks/useChapter.ts,Fork has own volume-button listener wiring.
ff12759a66ad68791d7b8270579b8f7d020e73f5,ff12759a66,2026-07-26,Rajarshee Chatterjee,ci: run preview builds daily when missing,SKIP,SKIP-CI,-,-,-,,CI/preview flavor infra (fork has no preview variant).
e62868b82ccd1784ad83cd00d338c47d2818df94,e62868b82c,2026-07-26,Rajarshee Chatterjee,feat: automate draft android releases,SKIP,SKIP-RELEASE,-,-,-,".gitignore,package.json,src/hooks/common/useGithubUpdateChecker.ts",Version bump; fork has own numbering (v2.1.3).
97be48dfe17b6a5261284cc3052ab5dcbab8d20d,97be48dfe1,2026-07-26,Rajarshee Chatterjee,feat: add migration review options,PORT,B-stretch,MEDIUM,YELLOW,MANUAL,"AGENTS.md,src/screens/browse/migration/MigrationNovelList.tsx,src/services/migrate/migrateNovel.ts",Migration review options (cover/metadata/redownload + review dialog).
cbe7d70e2df349db7ebf36a448e1f84b3903fb78,cbe7d70e2d,2026-07-26,Rajarshee Chatterjee,fix: restore collapsed tts button interaction,SKIP,ALREADY-HAVE,-,-,-,,Fork index.js already guards TTS controller element.
6548e9a6f8efc0bb21e46af005072d7599b326e9,6548e9a6f8,2026-07-26,Rajarshee Chatterjee,fix: improve paged reader layout and performance,SKIP,SKIP-OTHER,-,-,-,src/screens/reader/ReaderScreen.tsx,No clear user value / overlaps fork-critical files or infra. See subagent report.
138fdff2e57e55e02f9775d11dfb47482701f5c5,138fdff2e5,2026-07-26,Rajarshee Chatterjee,fix: prevent duplicate webview bottom insets,PORT,B-stretch,MEDIUM,YELLOW,MANUAL,src/screens/WebviewScreen/WebviewScreen.tsx,Prevent duplicate WebView bottom insets (fork likely same bug).
f1dd4b77a891e501b9345e5d0fe81b6405bce450,f1dd4b77a8,2026-07-26,Rajarshee Chatterjee,feat: improve empty chapter reporting,SKIP,SKIP-OTHER,-,-,-,"src/screens/reader/components/WebViewReader.tsx,src/screens/reader/utils/sanitizeChapterText.ts",No clear user value / overlaps fork-critical files or infra. See subagent report.
9b356ffd17c28d7f37285157f3f34488af67a266,9b356ffd17,2026-07-26,Rajarshee Chatterjee,fix: preserve client ids and improve environment generation,SKIP,SKIP-OTHER,-,-,-,,No clear user value / overlaps fork-critical files or infra. See subagent report.
5cf7e15d7631f3ada56d4cb979694214745bd10d,5cf7e15d76,2026-07-26,Rajarshee Chatterjee,feat: add reader setting descriptions,SKIP,SKIP-OTHER,-,-,-,"src/screens/settings/SettingsReaderScreen/tabs/AccessibilityTab.tsx,src/screens/settings/SettingsReaderScreen/tabs/NavigationTab.tsx",No clear user value / overlaps fork-critical files or infra. See subagent report.
6a7e90c179b735521aa9d778e68f1727607e8ac5,6a7e90c179,2026-07-26,Rajarshee Chatterjee,fix: align advanced reader tabs and localize actions,SKIP,SKIP-OTHER,-,-,-,src/screens/settings/SettingsReaderScreen/tabs/AdvancedTab.tsx,No clear user value / overlaps fork-critical files or infra. See subagent report.
99c31d56bb45c6e04fe96cff3f14c3ca55fccba4,99c31d56bb,2026-07-26,Rajarshee Chatterjee,fix: use md3 outline variant for tab borders,PORT,C-optional,LOW,YELLOW,MANUAL,"src/screens/browse/BrowseScreen.tsx,src/screens/library/components/LibraryBottomSheet/LibraryBottomSheet.tsx,src/screens/library/LibraryScreen.tsx,src/screens/novel/components/NovelBottomSheet.tsx,src/screens/reader/components/ReaderBottomSheet/ReaderBottomSheet.tsx,src/screens/settings/SettingsReaderScreen/SettingsReaderScreen.tsx",MD3 outline variant for tab borders.
4d98247980c21f892df6cf0da19ecad8a6f0d136,4d98247980,2026-07-26,Rajarshee Chatterjee,feat: add android dns over https support,SKIP,ALREADY-HAVE,-,-,-,src/screens/settings/SettingsAdvancedScreen.tsx,Fork shipped own DoH (DoHManagerModule.kt) earlier.
164f5d259243a68f14a7e8a069b2e2cfc42aab84,164f5d2592,2026-07-25,Rajarshee Chatterjee,feat: add automatic library update scheduling,PORT,D-stretch,HIGH,YELLOW,MANUAL,src/hooks/persisted/useSettings.ts,Automatic library update scheduling - needs native scheduler on fork ServiceManager.
89cddf9e3d07d3f7a7c7cb71e8cc8e5e4e96fcc3,89cddf9e3d,2026-07-25,Rajarshee Chatterjee,fix: expand discover row ripple,SKIP,SKIP-OTHER,-,-,-,src/screens/browse/discover/DiscoverCard.tsx,No clear user value / overlaps fork-critical files or infra. See subagent report.
eac6ad584e85d4ed72cf76fafcde1c4d0551687d,eac6ad584e,2026-07-25,Rajarshee Chatterjee,feat: improve novel app bar and epub export ux,PORT,B-stretch,MEDIUM,YELLOW,MANUAL,"src/screens/novel/components/ExportEpubModal.tsx,src/screens/novel/components/JumpToChapterModal.tsx,src/screens/novel/components/NovelAppbar.tsx,src/screens/novel/components/NovelScreenList.tsx,src/screens/novel/NovelScreen.tsx",Novel app bar + EPUB export UX polish.
93fe04c28cc4776a96f86aa157b729ddf3c218c3,93fe04c28c,2026-07-25,Rajarshee Chatterjee,feat: polish reader controls and navigation,SKIP,SKIP-OTHER,-,-,-,"src/components/Common/ToggleButton.tsx,src/components/SegmentedControl/SegmentedControl.tsx,src/database/queries/ChapterQueries.ts,src/navigators/MoreStack.tsx,src/screens/browse/discover/DiscoverCard.tsx,src/screens/more/DownloadsScreen.tsx,src/screens/reader/components/ReaderAppbar.tsx,src/screens/reader/components/ReaderBottomSheet/ReaderBottomSheet.tsx,src/screens/reader/components/ReaderBottomSheet/ReaderFontPicker.tsx,src/screens/reader/components/ReaderBottomSheet/ReaderSheetPreferenceItem.tsx,src/screens/reader/components/ReaderBottomSheet/ReaderTextAlignSelector.tsx,src/screens/reader/components/ReaderBottomSheet/ReaderThemeSelector.tsx,src/screens/reader/components/ReaderBottomSheet/ReaderValueChange.tsx,src/screens/reader/components/ReaderBottomSheet/TextSizeSlider.tsx,src/screens/reader/components/ReaderBottomSheet/TTSTab.tsx,src/screens/reader/components/ReaderFooter.tsx,src/screens/reader/ReaderScreen.tsx,src/screens/settings/SettingsTrackerScreen.tsx",Broad reader-controls polish incl. Drizzle ChapterQueries limit + every fork-critical file. Only selective sub-fixes portable - see group2 report.
c9358b3a9fc49ad6a98ac0293da46bf9eab39bf8,c9358b3a9f,2026-07-25,Rajarshee Chatterjee,feat: update android branding assets,SKIP,SKIP-CI,-,-,-,,Binary assets; cherry-picks but inert.
67d2c7c01b101d83d0033aad2c0a99247f04620e,67d2c7c01b,2026-07-25,Rajarshee Chatterjee,feat: add collapsible tts controls and stable notification progress,SKIP,ALREADY-HAVE,-,-,-,,Collapsible TTS controls; fork has own TTS UI + stable progress.
c30441b9493d5e75fbe82a608b034c6239fa493f,c30441b949,2026-07-25,Rajarshee Chatterjee,feat: add smart library update filters,PORT,B-stretch,MEDIUM,YELLOW,MANUAL,src/hooks/persisted/useSettings.ts,Smart library update filters (skip read/completed/unstarted).
6d2a9f8e1530604860375a9be3abb92b4502d01b,6d2a9f8e15,2026-07-25,Rajarshee Chatterjee,fix: prevent slider flicker after release,PORT,C,LOW,GREEN,MANUAL,,Slider flicker fix - only after MD3 Slider ported.
799845426c8f2e651de508d471d8319add41d2cc,799845426c,2026-07-25,Rajarshee Chatterjee,feat: add parallel library updates across sources,PORT,B,MEDIUM,YELLOW,MANUAL,,Parallel library updates (group by pluginId + Promise.all concurrency 3; fork updates/index.ts is sequential sleep(1000)).
8ac628b3deda367f68af93f9f43d7a1da8c80f9d,8ac628b3de,2026-07-25,Rajarshee Chatterjee,fix: improve history removal flow.,PORT,B-stretch,MEDIUM,YELLOW,MANUAL,"src/database/queries/__tests__/HistoryQueries.test.ts,src/screens/history/components/HistoryCard/HistoryCard.tsx,src/screens/history/HistoryScreen.tsx",Per-novel history removal + confirm dialog.
d02291c22c079e5faee9817b00c7bd87ed7f47da,d02291c22c,2026-07-25,Rajarshee Chatterjee,feat: remember last used library category,PORT,B-stretch,MEDIUM,YELLOW,MANUAL,"src/hooks/persisted/useSettings.ts,src/screens/library/LibraryScreen.tsx",Remember last used library category.
7af0911f5b17e1c606dbf60e0f1d1b8863c78221,7af0911f5b,2026-07-25,Rajarshee Chatterjee,feat: add high-resolution android flavor assets,SKIP,SKIP-CI,-,-,-,,Binary flavor assets.
098782d6aa9a188bf007402155bd66e3dbc14523,098782d6aa,2026-07-25,Rajarshee Chatterjee,refactor: simplify settings layout and theme selection,PORT,C-optional,LOW,YELLOW,MANUAL,"package.json,pnpm-lock.yaml,src/components/List/List.tsx,src/components/ThemePicker/ThemePicker.tsx,src/screens/onboarding/ThemeSelectionStep.tsx,src/screens/settings/SettingsAppearanceScreen/SettingsAppearanceScreen.tsx,src/screens/settings/SettingsGeneralScreen/SettingsGeneralScreen.tsx,src/screens/settings/SettingsTrackerScreen.tsx",Simplify settings layout + theme selection (removes react-native-theme-switch-animation).
732628c40bb3f1afbbb0336577f9a56f97ef9115,732628c40b,2026-07-25,Rajarshee Chatterjee,feat: add date format and relative timestamp settings.,PORT,B-stretch,MEDIUM,YELLOW,MANUAL,"src/hooks/persisted/useSettings.ts,src/screens/history/HistoryScreen.tsx,src/screens/more/DownloadsScreen.tsx,src/screens/novel/components/ChapterItem.tsx,src/screens/novel/components/NovelScreenList.tsx,src/screens/settings/SettingsAppearanceScreen/SettingsAppearanceScreen.tsx,src/screens/settings/SettingsBackupScreen/Components/GoogleDriveModal.tsx,src/screens/updates/UpdatesScreen.tsx",Date format + relative timestamp settings.
5e62c36a9b0c0d7ca562383f2d9938e722216f00,5e62c36a9b,2026-07-25,Rajarshee Chatterjee,feat: add library settings and category-based global updates,PORT,D-optional,MEDIUM,RED,MANUAL-rewrite,"src/database/queries/__tests__/NovelQueries.test.ts,src/database/queries/NovelQueries.ts,src/hooks/persisted/useSettings.ts,src/navigators/MoreStack.tsx,src/navigators/types/index.ts,src/screens/settings/SettingsGeneralScreen/SettingsGeneralScreen.tsx,src/screens/settings/SettingsLibraryScreen/DefaultCategoryDialog.tsx,src/screens/settings/SettingsScreen.tsx",Library settings + category-based global updates; completes fork TODO-stubbed DefaultCategoryDialog but needs Drizzle->SQL rewrite.
3d102a52a7d780b096afd78c6d5214e46b670b47,3d102a52a7,2026-07-25,Rajarshee Chatterjee,perf(reader): cut chapter open latency and reading-time re-renders (#1899),PORT,D,HIGH,RED,MANUAL-rewrite,"src/hooks/persisted/useSettings.ts,src/screens/reader/ChapterContext.tsx,src/screens/reader/components/ChapterDrawer/index.tsx,src/screens/reader/components/ReaderBottomSheet/ReaderBottomSheet.tsx,src/screens/reader/components/ReaderFooter.tsx,src/screens/reader/components/WebViewReader.tsx,src/screens/reader/hooks/useChapter.ts,src/screens/reader/ReaderScreen.tsx,src/screens/reader/utils/sanitizeChapterText.ts,src/screens/WebviewScreen/WebviewScreen.tsx","Reader perf sprint (#1899) - port TECHNIQUES (deferred fetch, HTML cache, lazy mount, coalesced scroll) not code."
4dcf21303715793087ea3bd49a9d510943e30944,4dcf213037,2026-07-25,Rajarshee Chatterjee,fix: restore reader changes reverted during expo migration,SKIP,SKIP-OTHER,-,-,-,,Restores upstream assets/reader/js/search.js (442 lines) - fork has no in-reader search; feature = 71da09ed. Skip.
4de82472ee70fd0c36114f0ee2e213ff6bf81099,4de82472ee,2026-07-25,Rajarshee Chatterjee,fix: resolve require cycles and legendlist render updates,SKIP,SKIP-DEP,-,-,-,"pnpm-lock.yaml,pnpm-workspace.yaml,src/components/SearchbarV2/SearchbarV2.tsx,src/screens/settings/SettingsRepositoryScreen/SettingsRepositoryScreen.tsx,src/services/backup/utils.ts",LegendList v3 patch + Drizzle manager; version mismatch.
58db0352e6359d4b1c69391d260105abbe4ede60,58db0352e6,2026-07-25,Rajarshee Chatterjee,fix: restore metro reader asset middleware,SKIP,ALREADY-HAVE,-,-,-,,Fork metro.config.cjs already serves reader assets.
74808f086e5e3fbd479138681d700814c3370386,74808f086e,2026-07-24,Rajarshee Chatterjee,feat: replace legacy media controls with nitro-powered playback (#1896),SKIP,ALREADY-HAVE,-,-,-,"babel.config.js,package.json,src/hooks/persisted/useSettings.ts,src/screens/reader/components/ReaderBottomSheet/TTSTab.tsx,src/screens/reader/components/WebViewReader.tsx,src/screens/reader/hooks/useChapter.ts,src/screens/reader/ReaderScreen.tsx,src/screens/settings/SettingsReaderScreen/Modals/VoicePickerModal.tsx,src/screens/settings/SettingsReaderScreen/SettingsReaderScreen.tsx,tsconfig.json",Nitro media controls; fork has own 5-button ttsNotification.ts.
b96351ea8117f4a1e464b0a7ab1820a557172c92,b96351ea81,2026-07-24,amir-rezaei,docs: fix contraction and missing article in `testing.md` (#1895),SKIP,SKIP-DOCS,-,-,-,,Documentation only.
eb8dc6df368ba7628178d6481294fca1b30f9019,eb8dc6df36,2026-07-24,amir-rezaei,"docs: fix ""withoud"" typo in `contributing-nix.md` (#1894)",SKIP,SKIP-DOCS,-,-,-,CONTRIBUTING-NIX.md,Documentation only.
0c8546188eb33a0ac3be46596503cd38e4fb4d75,0c8546188e,2026-07-24,Rajarshee Chatterjee,feat: add md3 slider component.,PORT,C,MEDIUM,YELLOW,MANUAL,"package.json,pnpm-lock.yaml,src/screens/reader/components/ReaderBottomSheet/ReaderValueChange.tsx,src/screens/reader/components/ReaderBottomSheet/TextSizeSlider.tsx,src/screens/reader/components/ReaderBottomSheet/TTSTab.tsx,src/screens/settings/SettingsReaderScreen/ReaderTextSize.tsx",MD3 Slider component (replaces @react-native-community/slider; coordinate package.json).
e9f6bdaa203890fb7d69b261f31afc431fba429c,e9f6bdaa20,2026-07-24,Rajarshee Chatterjee,fix: modernize menu styling and outside-tap dismissal,PORT,C,MEDIUM,YELLOW,MANUAL,src/components/Menu/index.tsx,Menu outside-tap dismissal modernization.
